structure,pdb,fv,success,reason_for_failure,location_of_failure
3g5x_B0-A0,3g5x,B0-A0,True,,
3g5x_D0-C0,3g5x,D0-C0,True,,
3g5y_B0-A0,3g5y,B0-A0,True,,
3g5z_B0-A0,3g5z,B0-A0,True,,
3g6a_H0-L0,3g6a,H0-L0,True,,
3g6a_B0-A0,3g6a,B0-A0,True,,
3g6d_H0-L0,3g6d,H0-L0,True,,
3g6j_F0-E0,3g6j,F0-E0,True,,
3g6j_H0-G0,3g6j,H0-G0,True,,
8gng_H0-L0,8gng,H0-L0,True,,
8gng_Z0-Y0,8gng,Z0-Y0,True,,
3gb7_A0-B0,3gb7,A0-B0,True,,
3gbm_H0-L0,3gbm,H0-L0,True,,
3gbm_I0-M0,3gbm,I0-M0,True,,
3gbn_H0-L0,3gbn,H0-L0,True,,
7sx6_H0-L0,7sx6,H0-L0,True,,
7sx6_B0-C0,7sx6,B0-C0,True,,
3ghb_H0-L0,3ghb,H0-L0,True,,
3ghb_I0-M0,3ghb,I0-M0,True,,
3ghe_H0-L0,3ghe,H0-L0,True,,
3gi8_H0-L0,3gi8,H0-L0,True,,
3gi9_H0-L0,3gi9,H0-L0,True,,
7uxl_F0-E0,7uxl,F0-E0,True,,
7uxl_A0-B0,7uxl,A0-B0,True,,
3gje_H0-L0,3gje,H0-L0,True,,
3gje_B0-A0,3gje,B0-A0,True,,
2fbj_H0-L0,2fbj,H0-L0,True,,
2fd6_H0-L0,2fd6,H0-L0,True,,
8ddk_A0-B0,8ddk,A0-B0,True,,
3gk8_H0-L0,3gk8,H0-L0,True,,
3gkw_H0-L0,3gkw,H0-L0,True,,
3gkz_A0-A1,3gkz,A0-A1,True,,
3gm0_A0-A1,3gm0,A0-A1,True,,
3gnm_H0-L0,3gnm,H0-L0,True,,
3go1_H0-L0,3go1,H0-L0,True,,
8dk6_H0-L0,8dk6,H0-L0,True,,
3grw_H0-L0,3grw,H0-L0,True,,
3h0t_B0-A0,3h0t,B0-A0,True,,
8emy_H0,8emy,H0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8emy_I0,8emy,I0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8emy_J0,8emy,J0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8emy_K0,8emy,K0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8emy_L0,8emy,L0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
8emy_G0,8emy,G0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
1i3v_A0,1i3v,A0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
1i3v_B0,1i3v,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3h3p_H0-L0,3h3p,H0-L0,True,,
3h3p_I0-M0,3h3p,I0-M0,True,,
3h42_H0-L0,3h42,H0-L0,True,,
3hae_H0-L0,3hae,H0-L0,True,,
3hae_I0-G0,3hae,I0-G0,True,,
3hae_O0-N0,3hae,O0-N0,True,,
3hae_T0-S0,3hae,T0-S0,True,,
1i7z_B0-A0,1i7z,B0-A0,True,,
1i7z_D0-C0,1i7z,D0-C0,True,,
3hb3_C0-D0,3hb3,C0-D0,True,,
3hc0_A0-B0,3hc0,A0-B0,True,,
3hc0_H0-L0,3hc0,H0-L0,True,,
3hc3_H0-L0,3hc3,H0-L0,True,,
3hfm_H0-L0,3hfm,H0-L0,True,,
3hi1_H0-L0,3hi1,H0-L0,True,,
3hi1_B0-A0,3hi1,B0-A0,True,,
3hi5_H0-L0,3hi5,H0-L0,True,,
1i8i_B0-A0,1i8i,B0-A0,True,,
3hi6_H0-L0,3hi6,H0-L0,True,,
3hi6_X0-Y0,3hi6,X0-Y0,True,,
3hmw_H0-L0,3hmw,H0-L0,True,,
3hmx_H0-L0,3hmx,H0-L0,True,,
4ods_H0-L0,4ods,H0-L0,True,,
3hns_H0-L0,3hns,H0-L0,True,,
3hnt_H0-L0,3hnt,H0-L0,True,,
3hnv_H0-L0,3hnv,H0-L0,True,,
3hpl_A0-B0,3hpl,A0-B0,True,,
3mme_A0-B0,3mme,A0-B0,True,,
3mme_C0-D0,3mme,C0-D0,True,,
3mme_H0-L0,3mme,H0-L0,True,,
3mnv_B0-A0,3mnv,B0-A0,True,,
3mnv_D0-C0,3mnv,D0-C0,True,,
3mnz_B0-A0,3mnz,B0-A0,True,,
6jwc_H0-L0,6jwc,H0-L0,True,,
3mo1_B0-A0,3mo1,B0-A0,True,,
3moa_H0-L0,3moa,H0-L0,True,,
3mob_H0-L0,3mob,H0-L0,True,,
7d4b_B0,7d4b,B0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3k1k_C0,3k1k,C0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3k1k_D0,3k1k,D0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VH'.,VH-VL check
3mod_H0-L0,3mod,H0-L0,True,,
3mug_B0-A0,3mug,B0-A0,True,,
3mug_D0-C0,3mug,D0-C0,True,,
3mug_F0-E0,3mug,F0-E0,True,,
3mug_H0-G0,3mug,H0-G0,True,,
3mug_J0-I0,3mug,J0-I0,True,,
3mug_L0-K0,3mug,L0-K0,True,,
3muh_L0,3muh,L0,False,ValueError: Not a VH-VL antibody. fv.fv_type='VL'.,VH-VL check
2wub_H0-L0,2wub,H0-L0,True,,
2wub_R0-Q0,2wub,R0-Q0,True,,
3mxv_H0-L0,3mxv,H0-L0,True,,
3mxw_H0-L0,3mxw,H0-L0,True,,
3n85_H0-L0,3n85,H0-L0,True,,
