structure,resolution_high,abangle_HL_outlier,abangle_HC1_outlier,abangle_HC2_outlier,abangle_LC1_outlier,abangle_LC2_outlier,abangle_dc_outlier,cdrh3_high,cdr_high,rare_species,exclude
1i7z_B0-A0,False,False,False,False,False,False,False,False,False,False,False
1i7z_D0-C0,False,False,False,False,False,False,False,False,False,False,False
1i8i_B0-A0,False,False,False,False,False,False,False,False,False,False,False
2fbj_H0-L0,False,False,False,False,False,False,False,False,False,False,False
2fd6_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3g5x_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3g5x_D0-C0,False,False,False,False,False,False,False,False,False,False,False
3g5y_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3g5z_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3g6a_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3g6a_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3g6d_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3g6j_F0-E0,False,False,False,False,False,False,False,False,False,False,False
3g6j_H0-G0,False,False,False,False,False,False,False,False,False,False,False
3gb7_A0-B0,False,False,False,False,False,False,False,False,False,False,False
3gbm_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3gbm_I0-M0,False,False,False,False,False,False,False,False,False,False,False
3gbn_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3ghb_H0-L0,False,False,False,False,True,True,False,False,False,False,True
3ghb_I0-M0,False,False,False,False,True,True,False,False,False,False,True
3ghe_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3gi8_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3gi9_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3gje_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3gje_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3gk8_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3gkw_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3gkz_A0-A1,False,False,False,False,False,False,False,False,False,False,False
3gm0_A0-A1,False,False,False,False,False,False,False,False,False,False,False
3gnm_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3go1_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3grw_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3h0t_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3h3p_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3h3p_I0-M0,False,False,False,False,False,False,False,False,False,False,False
3h42_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3hae_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3hae_I0-G0,False,False,False,False,False,False,False,False,False,False,False
3hae_O0-N0,False,False,False,False,False,False,False,False,False,False,False
3hae_T0-S0,False,False,False,False,False,False,False,False,False,False,False
3hb3_C0-D0,False,False,False,False,False,False,False,False,False,False,False
3hc0_A0-B0,False,False,False,False,False,False,False,False,False,False,False
3hc0_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3hc3_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3hfm_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3hi1_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3hi1_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3hi5_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3hi6_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3hi6_X0-Y0,False,False,False,False,False,False,False,False,False,False,False
3hmw_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3hmx_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3hns_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3hnt_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3hnv_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3hpl_A0-B0,False,False,False,False,False,False,False,False,False,False,False
4ods_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7sx6_H0-L0,False,False,False,False,False,False,False,False,False,False,False
7sx6_B0-C0,False,False,False,False,False,False,False,False,False,False,False
7uxl_F0-E0,False,False,False,False,False,False,False,False,False,False,False
7uxl_A0-B0,False,False,False,False,False,False,False,False,False,False,False
8ddk_A0-B0,True,False,False,False,False,False,False,False,False,False,True
8dk6_H0-L0,False,False,False,False,False,False,False,False,False,False,False
8gng_H0-L0,False,False,False,False,False,False,False,False,False,False,False
8gng_Z0-Y0,False,False,False,False,False,False,False,False,False,False,False
2eh7_H0-L0,False,False,False,False,False,False,False,False,False,False,False
2otu_B0-A0,False,False,False,False,False,False,False,False,False,False,False
2otu_F0-E0,False,False,False,False,False,False,False,False,False,False,False
2otu_H0-G0,False,False,False,False,False,False,False,False,False,False,False
2otu_D0-C0,False,False,False,False,False,False,False,False,False,False,False
2wub_H0-L0,False,False,False,False,False,False,False,False,False,False,False
2wub_R0-Q0,False,False,False,False,False,False,False,False,False,False,False
2ymx_H0-L0,False,False,False,False,False,False,False,False,False,False,False
2ypv_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mme_A0-B0,True,False,False,False,False,False,False,True,False,False,True
3mme_C0-D0,True,False,False,False,False,False,False,True,False,False,True
3mme_H0-L0,True,False,False,False,False,False,False,True,False,False,True
3mnv_B0-A0,False,True,False,False,False,False,False,False,False,False,True
3mnv_D0-C0,False,False,False,False,False,False,False,False,False,False,False
3mnz_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3mo1_B0-A0,False,False,False,False,False,False,False,False,False,False,False
3moa_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mob_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mod_H0-L0,False,False,False,False,False,False,False,False,False,False,False
3mug_B0-A0,False,False,False,False,False,False,False,True,False,False,True
3mug_D0-C0,False,False,False,False,False,False,False,True,False,False,True
3mug_F0-E0,False,False,False,False,False,False,False,True,False,False,True
3mug_H0-G0,False,False,False,False,False,False,False,True,False,False,True
3mug_J0-I0,False,False,False,False,False,False,False,True,False,False,True
3mug_L0-K0,False,False,False,False,False,False,False,True,False,False,True
