structure,in_legacy,split,legacy_test_split
6hjp_G0-H0,True,train,False
6hjp_I0-J0,True,train,False
6hjp_K0-L0,True,train,False
6hkg_A0-B0,True,train,False
6hkg_C0-D0,True,train,False
6hxw_H0-L0,True,train,False
6hxw_C0-D0,True,train,False
6i04_C0-D0,True,train,False
6i04_H0-L0,True,train,False
6i07_B1-B0,True,train,False
6i07_A1-A0,True,train,False
6i3z_H0-L0,True,train,False
6i1o_H0-L0,True,train,False
6i8s_E0-I0,True,train,False
6i8s_F0-J0,True,train,False
6i8s_G0-K0,True,train,False
6i8s_H0-L0,True,train,False
6i9i_H0-L0,True,train,False
6i9i_A0-B0,True,train,False
6iap_E0-D0,True,train,False
6ias_H0-L0,True,train,False
6iap_H0-L0,True,train,False
6iea_H0-L0,True,valid,False
6ieb_E0-F0,True,train,False
6ieb_H0-L0,True,train,False
6iec_J0-K0,True,train,False
6iec_H0-L0,True,train,False
6iec_C0-D0,True,train,False
6iec_F0-G0,True,train,False
6iek_E0-F0,True,train,False
6iek_B0-C0,True,train,False
6ii4_H0-L0,True,train,False
6ii4_E0-F0,True,train,False
6ii8_J0-K0,True,train,False
6ii8_H0-L0,True,train,False
6ii8_G0-I0,True,train,False
6ii9_H0-L0,True,train,False
6ii9_M0-N0,True,train,False
6ii9_P0-Q0,True,train,False
6iuv_C0-D0,True,train,False
6iuv_H0-L0,True,train,False
6bft_H0-L0,True,train,False
6bft_A0-B0,True,train,False
7cyv_H0-H1,False,train,False
7dc7_A0-B0,False,train,False
7w71_I0-M0,False,train,False
7w71_H0-L0,False,train,False
8f9u_A0-B0,False,train,False
8f9v_A0-B0,False,train,False
8f9v_C0-D0,False,train,False
8f9v_E0-F0,False,train,False
8f9v_G0-H0,False,train,False
8f9w_A0-B0,False,train,False
8f9w_C0-D0,False,train,False
8f9w_E0-F0,False,train,False
8f9w_G0-H0,False,train,False
8gpy_C0-D0,False,train,False
8gpy_E0-F0,False,train,False
8gsi_B0-A0,False,train,False
8h73_D0-D1,False,train,False
5drn_H0-L0,False,train,False
5drn_A0-B0,False,train,False
6ko5_H0-L0,True,train,False
6l8t_H0-L0,True,test,False
6l8t_A0-B0,True,unassigned,False
6l8t_C0-D0,True,unassigned,False
6yxk_A0-B0,False,valid,False
7fah_H0-L0,False,train,False
7fah_C0-D0,False,train,False
7yhk_F0-H0,False,train,False
7yd3_H0-L0,False,unassigned,False
7yd3_A0-B0,False,unassigned,False
7yd3_C0-D0,False,unassigned,False
7yd3_E0-F0,False,unassigned,False
7y8j_H0-L0,False,valid,False
7yi6_D0-B0,False,unassigned,False
7yi6_F0-E0,False,unassigned,False
8dzv_A1-A0,False,train,False
4p48_A1-A0,True,train,False
